id,value
1989_75,0
1959_102,1
1979_76,1
1991_124,0
1985_233,0
1984_73,1
1963_191,1
1992_1,1
1963_285,1
1961_166,0
1962_237,0
1990_342,1
1975_183,0
1985_23,0
1988_248,1
1971_570,0
1984_63,1
1954_181,1
1988_201,0
1967_162,1
1958_67,1
1983_89,1
1971_338,0
1969_369,0
1977_0,0
1971_138,0
1983_169,1
1977_200,0
1960_229,0
1977_103,0
1968_179,0
1966_153,0
1968_350,0
1976_40,0
1961_431,0
1979_446,0
1980_164,0
1961_123,0
1974_386,0
1978_306,0
1977_120,0
1958_49,0
1991_142,0
1974_86,0
1966_269,0
1975_38,0
1965_327,0
1986_422,0
1968_86,0
1982_6,0
